Geo,Year,PkgSpacesPerSFDU,PkgSpacesPerMFDU,PkgSpacesPerGQ,PropNonWrkTripPay,PropWkrPay,PropCashOut,PkgCost.2010
362,2005,4,1.75,0,0,0,0,0
363,2005,4,1.75,0,0,0,0,0
365,2005,4,1.75,0,0.025,0.125,0,0
366,2005,4,1.75,0,0,0,0,0
368,2005,4,1.75,0,0,0,0,0
373,2005,4,1.75,0,0,0,0,0
374,2005,4,1.75,0,0,0.05,0,0
376,2005,4,1.75,0,0,0,0,0
378,2005,4,1.75,0,0,0,0,0
379,2005,4,1.75,0,0,0,0,0
380,2005,4,1.75,0,0,0,0,0
381,2005,4,1.75,0,0,0.05,0,0
382,2005,4,1.75,0,0,0,0,0
383,2005,4,1.75,0,0,0,0,0
384,2005,4,1.75,0,0,0,0,0
388,2005,4,1.75,0,0,0,0,0
389,2005,4,1.75,0,0,0,0,0
390,2005,4,1.75,0,0,0,0,0
395,2005,4,1.75,0,0,0,0,0
396,2005,4,1.75,0,0,0,0,0
411,2005,6,2,1,0,0,0,0
414,2005,6,2,1,0,0,0,0
415,2005,6,2,1,0,0,0,0
416,2005,6,2,1,0,0,0,0
417,2005,6,2,1,0,0,0,0
418,2005,10,4,0.75,0,0,0,0
419,2005,6,2,1,0,0,0,0
420,2005,6,2,1,0,0,0,0
421,2005,4,1.75,0,0,0,0,0
422,2005,6,2,1,0,0,0,0
423,2005,10,4,0.75,0,0,0,0
424,2005,10,4,0.75,0,0,0,0
426,2005,4,1.75,0,0,0,0,0
427,2005,6,2,1,0,0,0,0
428,2005,6,2,1,0,0,0,0
429,2005,4,1.75,0,0,0,0,0
430,2005,4,1.75,0,0,0,0,0
431,2005,6,2,1,0,0,0,0
432,2005,6,2,1,0,0,0,0
433,2005,4,1.75,0,0,0,0,0
434,2005,4,1.75,0,0,0,0,0
435,2005,4,1.75,0,0,0,0,0
436,2005,4,1.75,0,0,0,0,0
437,2005,10,4,0.75,0,0,0,0
439,2005,4,1.75,0,0.025,0.125,0,0
442,2005,4,1.75,0,0,0,0,0
443,2005,10,4,0.75,0,0,0,0
444,2005,10,4,0.75,0,0,0,0
447,2005,4,1.75,0,0,0,0,0
450,2005,6,2,1,0,0,0,0
451,2005,6,2,1,0,0,0,0
31,2021,10,4,0.75,0,0,0,0
32,2021,6,2,1,0,0,0,0
33,2021,10,4,0.75,0,0,0,0
34,2021,6,2,1,0,0,0,0
35,2021,6,2,1,0,0,0,0
36,2021,10,4,0.75,0,0,0,0
37,2021,6,2,1,0,0,0,0
38,2021,6,2,1,0,0,0,0
39,2021,6,2,1,0,0,0,0
40,2021,4,1.75,0,0,0,0,0
41,2021,6,2,1,0,0,0,0
42,2021,6,2,1,0,0,0,0
43,2021,6,2,1,0,0,0,0
44,2021,4,1.75,0,0,0,0,0
45,2021,4,1.75,0,0,0,0,0
47,2021,4,1.75,0,0,0,0,0
48,2021,4,1.75,0,0,0,0,0
49,2021,4,1.75,0,0,0,0,0
50,2021,4,1.75,0,0,0,0,0
51,2021,4,1.75,0,0,0,0,0
52,2021,4,1.75,0,0,0,0,0
53,2021,4,1.75,0,0,0,0,0
54,2021,4,1.75,0,0,0,0,0
55,2021,4,1.75,0,0.05,0.065,0,0
56,2021,6,2,1,0,0,0,0
