Geo,Year,TotEmp,RetEmp,SvcEmp
34,2021,35.0,0.0,0.0
35,2021,11.0,0.0,4.0
36,2021,66.0,0.0,8.0
37,2021,250.0,30.0,5.0
38,2021,1.0,0.0,0.0
39,2021,22.0,0.0,17.0
40,2021,2.0,0.0,0.0
41,2021,12.0,0.0,2.0
42,2021,12.0,0.0,0.0
43,2021,67.0,0.0,52.0
44,2021,24.0,0.0,22.0
45,2021,71.0,2.0,21.0
47,2021,46.0,0.0,44.0
48,2021,0.0,0.0,0.0
49,2021,74.0,12.0,58.0
50,2021,7.0,0.0,4.0
51,2021,120.0,1.0,13.0
52,2021,163.0,24.0,122.0
53,2021,56.0,2.0,31.0
54,2021,100.0,2.0,42.0
55,2021,85.0,0.0,4.0
56,2021,55.0,0.0,42.0
61,2021,488.0,264.0,136.0
64,2021,440.0,218.0,51.0
65,2021,21.0,0.0,7.0
66,2021,136.0,0.0,80.0
67,2021,72.0,1.0,46.0
70,2021,29.0,1.0,12.0
71,2021,268.0,24.0,224.0
74,2021,6.0,0.0,5.0
75,2021,8.0,1.0,4.0
76,2021,464.0,163.0,136.0
77,2021,79.0,30.0,48.0
78,2021,131.0,0.0,94.0
80,2021,40.0,0.0,3.0
81,2021,65.0,0.0,21.0
82,2021,351.0,43.0,226.0
83,2021,33.0,4.0,14.0
84,2021,291.0,105.0,71.0
85,2021,8.0,1.0,0.0
86,2021,4.0,0.0,2.0
87,2021,91.0,1.0,39.0
88,2021,82.0,0.0,77.0
89,2021,57.0,0.0,15.0
90,2021,11.0,1.0,9.0
91,2021,104.0,0.0,99.0
92,2021,1043.0,870.0,135.0
94,2021,115.0,0.0,45.0
95,2021,50.0,28.0,7.0
100,2021,34.0,0.0,27.0
103,2021,36.0,5.0,24.0
104,2021,405.0,179.0,155.0
107,2021,624.0,86.0,322.0
110,2021,66.0,6.0,16.0
111,2021,40.0,0.0,35.0
112,2021,197.0,47.0,82.0
114,2021,329.0,190.0,65.0
116,2021,76.0,0.0,36.0
117,2021,63.0,0.0,24.0
118,2021,600.0,202.0,216.0
120,2021,410.0,76.0,230.0
124,2021,55.0,24.0,30.0
125,2021,159.0,62.0,33.0
126,2021,526.0,0.0,0.0
128,2021,82.0,0.0,27.0
129,2021,115.0,35.0,30.0
130,2021,5.0,2.0,1.0
131,2021,231.0,45.0,30.0
132,2021,96.0,30.0,2.0
133,2021,112.0,4.0,2.0
134,2021,38.0,15.0,0.0
135,2021,120.0,1.0,101.0
136,2021,104.0,0.0,9.0
137,2021,35.0,0.0,7.0
138,2021,43.0,23.0,7.0
139,2021,125.0,2.0,2.0
140,2021,203.0,14.0,117.0
141,2021,356.0,185.0,52.0
143,2021,309.0,7.0,111.0
144,2021,38.0,38.0,0.0
146,2021,90.0,2.0,84.0
147,2021,239.0,0.0,100.0
148,2021,105.0,13.0,34.0
149,2021,675.0,12.0,70.0
150,2021,95.0,0.0,40.0
151,2021,111.0,43.0,47.0
152,2021,64.0,0.0,1.0
153,2021,21.0,0.0,14.0
154,2021,197.0,3.0,94.0
155,2021,123.0,18.0,56.0
156,2021,513.0,203.0,100.0
158,2021,1164.0,684.0,259.0
162,2021,765.0,71.0,164.0
164,2021,427.0,141.0,229.0
168,2021,126.0,2.0,38.0
169,2021,0.0,0.0,0.0
170,2021,56.0,1.0,35.0
171,2021,18.0,0.0,11.0
172,2021,137.0,0.0,89.0
173,2021,1545.0,979.0,398.0
180,2021,1096.0,542.0,247.0
185,2021,103.0,0.0,20.0
186,2021,1.0,0.0,1.0
189,2021,368.0,70.0,162.0
193,2021,75.0,14.0,40.0
194,2021,393.0,156.0,20.0
196,2021,660.0,201.0,232.0
200,2021,342.0,272.0,9.0
204,2021,6.0,2.0,2.0
205,2021,117.0,0.0,20.0
206,2021,105.0,0.0,5.0
207,2021,111.0,7.0,14.0
211,2021,629.0,48.0,31.0
212,2021,445.0,27.0,18.0
213,2021,115.0,33.0,43.0
214,2021,264.0,138.0,60.0
220,2021,293.0,35.0,98.0
221,2021,557.0,16.0,198.0
222,2021,9.0,0.0,0.0
223,2021,384.0,179.0,46.0
224,2021,335.0,335.0,0.0
225,2021,268.0,167.0,43.0
226,2021,276.0,25.0,193.0
227,2021,457.0,41.0,235.0
229,2021,166.0,50.0,96.0
230,2021,106.0,0.0,32.0
231,2021,20.0,5.0,4.0
232,2021,286.0,27.0,156.0
233,2021,33.0,7.0,26.0
234,2021,40.0,0.0,7.0
235,2021,454.0,0.0,20.0
236,2021,352.0,28.0,9.0
237,2021,469.0,40.0,41.0
238,2021,1308.0,105.0,483.0
242,2021,514.0,58.0,407.0
243,2021,349.0,6.0,78.0
244,2021,122.0,17.0,20.0
245,2021,59.0,13.0,30.0
246,2021,3250.0,1.0,71.0
249,2021,4498.0,888.0,1641.0
254,2021,676.0,114.0,253.0
256,2021,496.0,9.0,200.0
257,2021,248.0,2.0,105.0
258,2021,109.0,0.0,1.0
259,2021,998.0,50.0,291.0
260,2021,2907.0,69.0,457.0
261,2021,3670.0,117.0,3343.0
279,2021,19.0,0.0,0.0
280,2021,451.0,22.0,224.0
281,2021,94.0,6.0,69.0
282,2021,27.0,19.0,2.0
283,2021,163.0,9.0,15.0
284,2021,107.0,12.0,34.0
285,2021,38.0,6.0,10.0
286,2021,999.0,443.0,380.0
289,2021,74.0,15.0,25.0
290,2021,109.0,4.0,35.0
294,2021,1494.0,0.0,0.0
295,2021,37.0,0.0,34.0
296,2021,214.0,0.0,25.0
298,2021,40.0,18.0,5.0
299,2021,664.0,0.0,24.0
300,2021,113.0,61.0,14.0
301,2021,208.0,46.0,93.0
302,2021,50.0,7.0,15.0
303,2021,60.0,16.0,33.0
304,2021,2689.0,470.0,478.0
309,2021,102.0,32.0,63.0
310,2021,846.0,77.0,558.0
312,2021,574.0,81.0,313.0
313,2021,1723.0,167.0,399.0
314,2021,169.0,52.0,78.0
322,2021,60.0,0.0,22.0
323,2021,513.0,190.0,166.0
324,2021,383.0,141.0,152.0
330,2021,2097.0,89.0,905.0
332,2021,17.0,0.0,16.0
333,2021,37.0,14.0,12.0
334,2021,125.0,24.0,68.0
335,2021,541.0,218.0,205.0
336,2021,719.0,306.0,295.0
338,2021,184.0,19.0,141.0
345,2021,43.0,1.0,17.0
346,2021,12.0,0.0,5.0
347,2021,74.0,17.0,49.0
350,2021,400.0,183.0,113.0
354,2021,3795.0,606.0,1222.0
357,2021,558.0,273.0,170.0
358,2021,210.0,22.0,109.0
359,2021,113.0,25.0,81.0
360,2021,38.0,3.0,25.0
361,2021,20.0,0.0,19.0
362,2021,81.0,0.0,0.0
363,2021,260.0,72.0,101.0
365,2021,62.0,7.0,22.0
366,2021,136.0,65.0,58.0
368,2021,693.0,237.0,273.0
373,2021,276.0,1.0,156.0
374,2021,577.0,451.0,74.0
376,2021,126.0,92.0,17.0
378,2021,125.0,0.0,69.0
379,2021,27.0,11.0,12.0
380,2021,172.0,6.0,104.0
381,2021,272.0,0.0,197.0
382,2021,35.0,0.0,5.0
383,2021,66.0,2.0,35.0
384,2021,131.0,60.0,56.0
388,2021,14.0,0.0,6.0
389,2021,127.0,0.0,70.0
390,2021,123.0,7.0,65.0
395,2021,2649.0,246.0,281.0
396,2021,151.0,0.0,28.0
411,2021,628.0,0.0,214.0
414,2021,18.0,0.0,1.0
415,2021,41.0,0.0,16.0
416,2021,156.0,37.0,46.0
417,2021,239.0,30.0,14.0
418,2021,0.0,0.0,0.0
419,2021,9.0,0.0,6.0
420,2021,33.0,1.0,12.0
421,2021,30.0,0.0,20.0
422,2021,18.0,0.0,2.0
423,2021,39.0,0.0,29.0
424,2021,0.0,0.0,0.0
426,2021,76.0,0.0,66.0
427,2021,0.0,0.0,0.0
428,2021,4.0,0.0,2.0
429,2021,95.0,7.0,84.0
430,2021,19.0,3.0,4.0
431,2021,58.0,0.0,10.0
432,2021,8.0,0.0,3.0
433,2021,107.0,32.0,59.0
434,2021,2.0,0.0,1.0
435,2021,45.0,0.0,20.0
436,2021,210.0,0.0,193.0
437,2021,0.0,0.0,0.0
439,2021,65.0,0.0,42.0
442,2021,0.0,0.0,0.0
443,2021,0.0,0.0,0.0
444,2021,0.0,0.0,0.0
447,2021,9.0,1.0,4.0
450,2021,5.0,4.0,0.0
451,2021,47.0,0.0,37.0
31,2050,31.0,0.0,2.0
32,2050,17.0,4.0,0.0
33,2050,32.0,2.0,1.0
34,2050,42.0,0.0,0.0
35,2050,11.0,0.0,4.0
36,2050,81.0,0.0,10.0
37,2050,345.0,42.0,7.0
38,2050,1.0,0.0,0.0
39,2050,22.0,0.0,17.0
40,2050,243.0,0.0,0.0
41,2050,12.0,0.0,2.0
42,2050,12.0,0.0,0.0
43,2050,70.0,0.0,55.0
44,2050,24.0,0.0,22.0
45,2050,107.0,4.0,32.0
