"Geo","Year","D4c"
133,2021,0
134,2021,0
135,2021,6
136,2021,4
137,2021,0
138,2021,0
139,2021,0
140,2021,27
141,2021,40
143,2021,23
144,2021,24
146,2021,64
147,2021,17.416667
148,2021,18.625
149,2021,74.041667
150,2021,63.166667
151,2021,30.166667
152,2021,0
153,2021,4
154,2021,68.208333
155,2021,77.208333
156,2021,46.625
158,2021,64.166667
162,2021,64
164,2021,82
168,2021,68
169,2021,4
170,2021,0
171,2021,0
172,2021,60
173,2021,146
180,2021,100
185,2021,0
186,2021,10
189,2021,50
193,2021,2
194,2021,66
196,2021,70
200,2021,24
204,2021,0
205,2021,0
206,2021,6
207,2021,0
211,2021,24
212,2021,23
213,2021,22
214,2021,18.5
220,2021,38
221,2021,34
222,2021,17
223,2021,13
224,2021,42
225,2021,32
226,2021,30
227,2021,48
229,2021,34
230,2021,44
231,2021,32.666667
232,2021,80.541667
233,2021,23.541667
234,2021,15.541667
235,2021,19.208333
236,2021,14.083333
237,2021,15.541667
238,2021,80.083333
242,2021,49.416667
243,2021,22.875
244,2021,42.875
245,2021,37.875
246,2021,96.791667
249,2021,137.25
254,2021,75.75
256,2021,55.208333
257,2021,16.5
258,2021,22
259,2021,26.333333
260,2021,92.083333
261,2021,98.5
279,2021,24
280,2021,34
281,2021,28
282,2021,30.875
283,2021,12.541667
284,2021,13.166667
285,2021,36
286,2021,49
289,2021,44
290,2021,28
294,2021,32
295,2021,36
296,2021,24
298,2021,36.833333
299,2021,63.5
300,2021,36
301,2021,24.833333
302,2021,8.833333
303,2021,25.666667
304,2021,32.5
309,2021,28
310,2021,74
312,2021,21
313,2021,41
314,2021,48
322,2021,40
323,2021,40
324,2021,54
330,2021,19
332,2021,0
333,2021,0
334,2021,37
335,2021,79
336,2021,60
338,2021,22
345,2021,0
346,2021,0
347,2021,9
350,2021,59
354,2021,37
357,2021,55
358,2021,39
359,2021,15
360,2021,9
361,2021,0
362,2021,3
363,2021,17
365,2021,16
366,2021,20
368,2021,57
373,2021,8
374,2021,47
376,2021,33
378,2021,11
379,2021,15
380,2021,23
381,2021,9
382,2021,6
383,2021,3
384,2021,30
388,2021,0
389,2021,20
390,2021,27
395,2021,50
396,2021,36
411,2021,2
414,2021,0
415,2021,0
416,2021,0
417,2021,0
418,2021,0
419,2021,0
420,2021,0
421,2021,5
422,2021,0
423,2021,0
424,2021,0
426,2021,5
427,2021,0
428,2021,0
429,2021,6
430,2021,9
431,2021,0
432,2021,0
433,2021,0
434,2021,0
435,2021,0
436,2021,34.583333
437,2021,0
439,2021,11.541667
442,2021,24
443,2021,0
444,2021,0
447,2021,3
450,2021,0
451,2021,0
31,2050,0
32,2050,0
33,2050,0
34,2050,0
35,2050,3.87011526977921
36,2050,0
37,2050,0
38,2050,2.58007684651947
39,2050,0
40,2050,14.1904226558571
41,2050,11.6103458093376
42,2050,0
43,2050,41.2812295443116
44,2050,2.58007684651947
45,2050,7.74023053955842
47,2050,15.4804610791168
48,2050,7.74023053955842
49,2050,23.2206916186752
50,2050,30.9609221582337
51,2050,43.861306390831
52,2050,105.783150707298
53,2050,29.6708837349739
54,2050,50.3114985071297
55,2050,25.8007684651947
56,2050,12.9003842325974
61,2050,52.8915753536492
64,2050,69.6620748560257
65,2050,82.5624590886231
66,2050,33.5409990047531
67,2050,33.5409990047531
70,2050,20.6406147721558
71,2050,36.1210758512726
74,2050,36.1210758512726
75,2050,49.02146008387
76,2050,28.3808453117142
77,2050,20.6406147721558
78,2050,54.1816137769089
80,2050,2.58007684651947
81,2050,10.3203073860779
82,2050,105.783150707298
83,2050,0
84,2050,0
85,2050,0
86,2050,15.4804610791168
87,2050,7.74023053955842
88,2050,41.2812295443116
89,2050,36.1210758512726
90,2050,46.4413832373505
91,2050,56.7616906234284
92,2050,87.7226127816621
94,2050,92.882766474701
95,2050,103.203073860779
100,2050,91.5927280514413
103,2050,168.995033447025
104,2050,132.873957595753
107,2050,118.683534939896
110,2050,20.6406147721558
111,2050,10.3203073860779
112,2050,87.7226127816621
114,2050,117.393496516636
116,2050,64.5019211629868
117,2050,99.3329585909997
118,2050,118.683534939896
120,2050,105.783150707298
124,2050,64.5019211629868
125,2050,85.1425359351426
126,2050,33.5409990047531
128,2050,76.1122669723244
129,2050,0
130,2050,0
131,2050,18.0605379256363
132,2050,2.58007684651947
133,2050,0
134,2050,2.58007684651947
135,2050,14.1904226558571
136,2050,11.6103458093376
137,2050,6.45019211629868
138,2050,0
139,2050,0
140,2050,55.4716522001686
141,2050,85.1425359351426
143,2050,43.861306390831
144,2050,51.6015369303894
146,2050,94.1728048979607
147,2050,45.1513448140908
148,2050,61.9218443164673
149,2050,131.583919172493
150,2050,127.713803902714
151,2050,60.6318058932076
152,2050,0
153,2050,15.4804610791168
154,2050,147.06438025161
155,2050,117.393496516636
156,2050,73.5321901258049
158,2050,100.622997014259
162,2050,46.4413832373505
164,2050,68.372036432766
168,2050,116.103458093376
169,2050,23.2206916186752
170,2050,0
171,2050,0
172,2050,129.003842325974
173,2050,210.276262991337
180,2050,194.79580191222
185,2050,2.58007684651947
186,2050,38.7011526977921
189,2050,118.683534939896
193,2050,10.3203073860779
194,2050,116.103458093376
196,2050,185.765532949402
200,2050,51.6015369303894
204,2050,15.4804610791168
205,2050,15.4804610791168
206,2050,33.5409990047531
207,2050,0
211,2050,32.2509605814934
212,2050,36.1210758512726
213,2050,69.6620748560257
214,2050,79.9823822421036
220,2050,82.5624590886231
221,2050,59.3417674699479
222,2050,21.9306531954155
223,2050,18.0605379256363
224,2050,72.2421517025452
225,2050,61.9218443164673
226,2050,56.7616906234284
227,2050,69.6620748560257
229,2050,59.3417674699479
230,2050,79.9823822421036
231,2050,59.3417674699479
232,2050,131.583919172493
233,2050,56.7616906234284
234,2050,41.2812295443116
235,2050,43.861306390831
236,2050,46.4413832373505
237,2050,46.4413832373505
238,2050,116.103458093376
242,2050,100.622997014259
243,2050,69.6620748560257
244,2050,92.882766474701
245,2050,82.5624590886231
246,2050,175.445225563324
249,2050,224.466685647194
254,2050,167.704995023766
256,2050,147.06438025161
257,2050,49.02146008387
258,2050,36.1210758512726
259,2050,67.0819980095063
260,2050,175.445225563324
261,2050,170.285071870285
279,2050,38.7011526977921
280,2050,61.9218443164673
281,2050,54.1816137769089
282,2050,92.882766474701
283,2050,45.1513448140908
284,2050,65.7919595862465
285,2050,79.9823822421036
286,2050,112.233342823597
289,2050,89.0126512049218
290,2050,67.0819980095063
294,2050,74.8222285490647
295,2050,85.1425359351426
296,2050,49.02146008387
298,2050,98.0429201677399
299,2050,178.025302409844
300,2050,98.0429201677399
301,2050,67.0819980095063
302,2050,46.4413832373505
303,2050,72.2421517025452
304,2050,104.493112284039
309,2050,54.1816137769089
310,2050,144.48430340509
312,2050,43.861306390831
313,2050,77.4023053955842
314,2050,103.203073860779
322,2050,110.943304400337
323,2050,90.3026896281815
324,2050,118.683534939896
330,2050,54.1816137769089
332,2050,36.1210758512726
333,2050,36.1210758512726
334,2050,103.203073860779
335,2050,170.285071870285
336,2050,131.583919172493
338,2050,59.3417674699479
345,2050,15.4804610791168
346,2050,15.4804610791168
347,2050,33.5409990047531
350,2050,139.324149712051
354,2050,210.276262991337
357,2050,153.514572367909
358,2050,79.9823822421036
359,2050,38.7011526977921
360,2050,23.2206916186752
361,2050,0
362,2050,5.16015369303894
363,2050,41.2812295443116
365,2050,41.2812295443116
366,2050,51.6015369303894
368,2050,123.843688632935
373,2050,131.583919172493
374,2050,165.124918177246
376,2050,76.1122669723244
378,2050,39.9911911210518
379,2050,37.4111142745323
380,2050,74.8222285490647
381,2050,27.0908068884545
382,2050,25.8007684651947
383,2050,23.2206916186752
384,2050,125.133727056194
388,2050,47.7314216606102
389,2050,79.9823822421036
390,2050,108.363227553818
395,2050,175.445225563324
396,2050,51.6015369303894
411,2050,18.0605379256363
414,2050,0
415,2050,0
416,2050,0
417,2050,0
418,2050,0
419,2050,0
420,2050,0
421,2050,12.9003842325974
422,2050,0
423,2050,0
424,2050,0
426,2050,18.0605379256363
427,2050,0
428,2050,6.45019211629868
429,2050,29.6708837349739
430,2050,30.9609221582337
431,2050,0
432,2050,0
433,2050,0
434,2050,0
435,2050,15.4804610791168
436,2050,90.3026896281815
437,2050,0
439,2050,33.5409990047531
442,2050,51.6015369303894
443,2050,0
444,2050,0
447,2050,7.74023053955842
450,2050,0
451,2050,0
