Geo,Year,PM25
149,2021,5.74829939
150,2021,5.776992807
151,2021,5.794486903
152,2021,5.690789763
153,2021,5.694808303
154,2021,5.718305694
155,2021,5.74381882
156,2021,5.761287434
158,2021,5.759576034
162,2021,5.760685332
164,2021,5.700119292
168,2021,5.699968338
169,2021,5.646311642
170,2021,5.645223774
171,2021,5.646158865
172,2021,5.699959196
173,2021,5.738197043
180,2021,5.708400306
185,2021,5.645891612
186,2021,5.699884897
189,2021,5.647552607
193,2021,5.653717585
194,2021,5.645270021
196,2021,5.644197278
200,2021,5.712272742
204,2021,5.656789227
205,2021,5.656067589
206,2021,5.656268235
207,2021,5.542529945
211,2021,5.759744902
212,2021,5.715945228
213,2021,5.713431075
214,2021,5.735457639
220,2021,5.719234492
221,2021,5.714413917
222,2021,5.73519471
223,2021,5.736458551
224,2021,5.736451197
225,2021,5.769938186
226,2021,5.773342087
227,2021,5.788409729
229,2021,5.769844515
230,2021,5.733422521
231,2021,5.703356019
232,2021,5.702644809
233,2021,5.700001761
234,2021,5.700011372
235,2021,5.714056219
236,2021,5.776197154
237,2021,5.771906311
238,2021,5.801085729
242,2021,5.700074824
243,2021,5.732918578
244,2021,5.700066702
245,2021,5.700225784
246,2021,5.799372259
249,2021,5.824589489
254,2021,5.704172657
256,2021,5.743111133
257,2021,5.779561448
258,2021,5.793123253
259,2021,5.782709089
260,2021,5.800023188
261,2021,5.800238709
279,2021,5.800006935
280,2021,5.800000191
281,2021,5.80781687
282,2021,5.729224229
283,2021,5.736610508
284,2021,5.755032767
285,2021,5.699999809
286,2021,5.700584177
289,2021,5.70003959
290,2021,5.699761834
294,2021,5.699530637
295,2021,5.699519947
296,2021,5.70675318
298,2021,5.688615254
299,2021,5.652105521
300,2021,5.686713403
301,2021,5.77186037
302,2021,5.73707886
303,2021,5.787913693
304,2021,5.731893591
309,2021,5.723013375
310,2021,5.773168873
312,2021,5.741581685
313,2021,5.785636772
314,2021,5.717212161
322,2021,5.667130811
323,2021,5.670356279
324,2021,5.709439978
330,2021,5.740354736
332,2021,5.62969888
333,2021,5.568846825
334,2021,5.590779552
335,2021,5.655979239
336,2021,5.699875155
338,2021,5.702130831
345,2021,5.47353286
346,2021,5.510217089
347,2021,5.573444455
350,2021,5.678691562
354,2021,5.736439108
357,2021,5.661257891
358,2021,5.599925194
359,2021,5.588801367
360,2021,5.543148417
361,2021,5.509960121
362,2021,5.510017357
363,2021,5.502419197
365,2021,5.501090687
366,2021,5.502999007
368,2021,5.539467741
373,2021,5.636135791
374,2021,5.637449443
376,2021,5.545033538
378,2021,5.507065473
379,2021,5.500005919
380,2021,5.499993155
381,2021,5.40276217
382,2021,5.507846835
383,2021,5.509016989
384,2021,5.55110352
388,2021,5.544252562
389,2021,5.543377155
390,2021,5.503175929
395,2021,5.674292062
396,2021,5.788841219
411,2021,5.632242375
414,2021,5.518699466
415,2021,5.513545493
416,2021,5.53653525
417,2021,5.586345503
418,2021,5.454319038
419,2021,5.575431554
420,2021,5.57478203
421,2021,5.479514449
422,2021,5.476864588
423,2021,5.476444948
424,2021,5.525631496
426,2021,5.517236644
427,2021,5.518403121
428,2021,5.499883782
429,2021,5.49999339
430,2021,5.380336171
431,2021,5.379210886
432,2021,5.37752662
433,2021,5.388871474
434,2021,5.473360319
435,2021,5.446803246
436,2021,5.637998361
437,2021,5.527474312
439,2021,5.70024364
442,2021,5.634949105
443,2021,5.623793029
444,2021,5.623793029
447,2021,5.788370221
450,2021,5.477360626
451,2021,5.616760669
31,2050,5.355490274
32,2050,5.445381341
33,2050,5.2695526
34,2050,5.359474724
35,2050,5.353648421
36,2050,5.296943601
37,2050,5.287748899
38,2050,5.434518791
39,2050,5.300373216
40,2050,5.351290325
41,2050,5.413696035
42,2050,5.492414971
43,2050,5.749013483
44,2050,5.716288805
45,2050,5.483638954
47,2050,5.50214138
48,2050,5.716580832
49,2050,5.656600026
50,2050,5.487720873
51,2050,5.655817091
52,2050,5.761468997
53,2050,5.790607017
54,2050,5.63453713
55,2050,5.481746413
56,2050,5.4798081
61,2050,5.778902527
64,2050,5.786179985
65,2050,5.704943077
66,2050,5.602116562
67,2050,5.515642257
70,2050,5.434808467
71,2050,5.627057857
74,2050,5.690535735
75,2050,5.704522711
76,2050,5.702694309
77,2050,5.754204968
78,2050,5.786344342
80,2050,5.623893574
81,2050,5.664322849
82,2050,5.750186276
83,2050,5.626319928
84,2050,5.623793029
85,2050,5.70819778
86,2050,5.785286866
87,2050,5.711732824
88,2050,5.71341678
89,2050,5.745819754
90,2050,5.701596185
91,2050,5.797226116
92,2050,5.81297851
94,2050,5.799635858
95,2050,5.79909623
100,2050,5.795235411
103,2050,5.799631461
104,2050,5.781687294
107,2050,5.786409636
110,2050,5.666958321
111,2050,5.710876145
112,2050,5.772935623
114,2050,5.74351199
116,2050,5.759582637
117,2050,5.742756224
118,2050,5.753054819
120,2050,5.790502392
124,2050,5.770173871
125,2050,5.757095014
126,2050,5.737318613
128,2050,5.748831179
129,2050,5.623793029
130,2050,5.683816081
131,2050,5.709266714
132,2050,5.684093126
133,2050,5.620607683
134,2050,5.685050321
135,2050,5.827246203
136,2050,5.830257511
137,2050,5.830459645
138,2050,5.643387806
139,2050,5.706726921
140,2050,5.798620604
141,2050,5.785471104
143,2050,5.783284485
144,2050,5.780606461
146,2050,5.797444908
147,2050,5.767488446
148,2050,5.708127039
149,2050,5.74829939
150,2050,5.776992807
151,2050,5.794486903
152,2050,5.690789763
153,2050,5.694808303
154,2050,5.718305694
155,2050,5.74381882
156,2050,5.761287434
158,2050,5.759576034
162,2050,5.760685332
164,2050,5.700119292
168,2050,5.699968338
169,2050,5.646311642
