ModelYear,AutoIcevMpg,AutoHevMpg,AutoPhevMpg,LtTrkIcevMpg,LtTrkHevMpg,LtTrkPhevMpg,AutoPhevMpkwh,LtTrkPhevMpkwh,AutoBevMpkwh,LtTrkBevMpkwh,AutoPhevRange,LtTrkPhevRange,AutoBevRange,LtTrkBevRange
1985,24.952380952380967,41.57080799000002,41.57080799000002,18.44761904761906,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
1986,25.680952380952395,41.57080799000002,41.57080799000002,18.723809523809535,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
1987,26.157142857142873,41.57080799000002,41.57080799000002,18.933333333333344,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
1988,26.290476190476205,41.57080799000002,41.57080799000002,18.8904761904762,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
1989,26.20476190476192,41.57080799000002,41.57080799000002,18.804761904761914,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
1990,26.09523809523811,41.57080799000002,41.57080799000002,18.752380952380964,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
1991,26.009523809523827,41.57080799000002,41.57080799000002,18.900000000000013,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
1992,26.061904761904778,41.57080799000002,41.57080799000002,18.995238095238108,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
1993,26.204761904761924,41.57080799000002,41.57080799000002,18.80952380952382,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
1994,26.309523809523824,41.57080799000002,41.57080799000002,18.68095238095239,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
1995,26.43333333333335,41.57080799000002,41.57080799000002,18.623809523809534,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
1996,26.514285714285734,41.57080799000002,41.57080799000002,18.642857142857153,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
1997,26.788369039047637,41.176794749047644,41.176794749047644,18.783636094285725,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
1998,26.181346521428587,42.157602016190495,42.157602016190495,18.514355710952394,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
1999,25.32015770476192,42.84425878571431,42.84425878571431,17.927441393809534,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
2000,24.290021988571446,42.97074077238098,42.97074077238098,17.352417880476203,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
2001,23.482365320952397,42.404232916190495,42.404232916190495,16.846540825714296,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
2002,23.078499839523822,41.37028374809526,41.37028374809526,16.662795493333345,28.607293720000023,28.607293720000023,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
2003,23.350166472857158,40.0427802914286,40.0427802914286,16.7205435604762,28.49163479142859,28.49163479142859,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
2004,23.41310180476192,40.51029776476193,40.51029776476193,17.016249044285722,28.540638134761927,28.540638134761927,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
2005,23.739802769047632,41.20979937380955,41.20979937380955,17.36631115857144,28.415533703333356,28.415533703333356,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
2006,23.968006691904776,42.29885586714288,42.29885586714288,18.296636900952393,30.5587702909524,30.5587702909524,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
2007,24.07953849666668,42.8200736114286,42.8200736114286,18.640664853333345,32.52315221761907,32.52315221761907,3.5000000000000018,2.0000000000000013,3.5000000000000018,2.0000000000000013,25.000000000000014,25.000000000000014,50.00000000000003,37.50000000000003
2008,24.823097719523822,42.976994920000024,42.976994920000024,19.578399935714298,34.553185718095264,34.553185718095264,3.4976190476190494,1.9976190476190487,3.4976190476190494,1.9976190476190487,25.000000000000014,25.000000000000014,49.04761904761908,36.785714285714306
2009,25.623690334285726,43.37286694571431,43.37286694571431,21.214817892857155,37.75217193428574,37.75217193428574,3.498809523809526,1.9988095238095251,3.498809523809526,1.9988095238095251,25.000000000000014,25.000000000000014,49.52380952380956,37.14285714285717
2010,26.327221780952396,39.40756673476193,39.40756673476193,21.97973735809525,35.29219903190479,35.29219903190479,3.5071428571428593,2.0071428571428584,3.5071428571428593,2.0071428571428584,25.000000000000014,25.000000000000014,52.85714285714289,39.64285714285717
2011,27.10942119428573,36.830068086190494,36.830068086190494,21.864046405238106,30.095976018095257,30.095976018095257,3.523809523809526,2.023809523809525,3.523809523809526,2.023809523809525,25.000000000000014,25.000000000000014,59.52380952380956,44.642857142857174
2012,25.938080471904776,35.65142935857145,35.65142935857145,20.906530623333346,27.398078452857163,27.398078452857163,3.5476190476190492,2.0476190476190483,3.5476190476190492,2.0476190476190483,25.000000000000014,25.000000000000014,68.75000000000004,51.56250000000003
2013,25.79195514666668,35.31748992000003,35.31748992000003,19.615437270952395,24.286938222380968,24.286938222380968,3.5750000000000024,2.075000000000001,3.5750000000000024,2.075000000000001,25.000000000000014,25.000000000000014,76.99132319047624,53.52404388571432
2014,26.675565331904778,36.27608216952383,36.27608216952383,19.39866964952382,22.88294192238097,22.88294192238097,3.6000000000000023,2.1000000000000014,3.6000000000000023,2.1000000000000014,25.000000000000014,25.000000000000014,92.58307150000006,72.06645939047624
2015,28.185202618095254,40.34403570714288,40.34403570714288,20.581516180476203,26.986815927619062,26.986815927619062,3.625000000000002,2.1250000000000013,3.625000000000002,2.1250000000000013,25.000000000000014,25.000000000000014,113.12941810476198,99.72940870952387
2016,29.89725679000002,41.624285061904786,41.624285061904786,21.357094890952396,28.890336124761923,28.890336124761923,3.650000000000002,2.1500000000000012,3.650000000000002,2.1500000000000012,25.000000000000014,25.000000000000014,134.97744275238102,129.23342014285723
2017,31.859096294761926,45.19627503666669,45.19627503666669,22.325137816666683,31.50944994809526,31.50944994809526,3.675000000000002,2.175000000000001,3.675000000000002,2.175000000000001,25.000000000000014,25.000000000000014,155.30637794761913,154.0139356857144
