Geo,Year,EcoProp,ImpProp
65,2020,0.03,0.0075
65,2035,0.05,0.0275
65,2045,0.07,0.04
66,2005,0.03,0
66,2010,0.03,0
66,2020,0.03,0.0075
66,2035,0.05,0.0275
66,2045,0.07,0.04
67,2005,0.03,0
67,2010,0.03,0
67,2020,0.03,0.0075
67,2035,0.05,0.0275
67,2045,0.07,0.04
68,2005,0.06,0.01
68,2010,0.06,0.05
68,2020,0.06,0.05
68,2035,0.125,0.075
68,2045,0.13,0.1
69,2005,0,0
69,2010,0,0
69,2020,0,0
69,2035,0,0
69,2045,0,0
70,2005,0.03,0
70,2010,0.03,0
70,2020,0.03,0.0075
70,2035,0.05,0.0275
70,2045,0.07,0.04
71,2005,0,0
71,2010,0,0
71,2020,0,0
71,2035,0,0
71,2045,0,0
72,2005,0.03,0
72,2010,0.03,0
72,2020,0.03,0.0075
72,2035,0.05,0.0275
72,2045,0.07,0.04
