dose,RR,lb,ub
33.83375375,0.625321266,0.551642562,0.708840676
33.91171171,0.625176489,0.551472293,0.708731241
33.98966967,0.625031746,0.551302044,0.708621867
34.06762763,0.624887037,0.551131813,0.708512554
34.14558559,0.62474236,0.550961601,0.7084033
34.22354354,0.624597718,0.550791408,0.708294107
34.3015015,0.624453108,0.550621235,0.708184974
34.37945946,0.624308533,0.55045108,0.7080759
34.45741742,0.62416399,0.550280944,0.707966887
34.53537538,0.624019481,0.550110828,0.707857933
34.61333333,0.623875006,0.549940731,0.707749038
34.69129129,0.623730564,0.549770653,0.707640203
34.76924925,0.623586156,0.549600595,0.707531428
34.84720721,0.623441781,0.549430556,0.707422712
34.92516517,0.623297439,0.549260537,0.707314055
35.00312312,0.623153131,0.549090538,0.707205457
35.08108108,0.623008856,0.548920558,0.707096918
35.15903904,0.622864615,0.548750598,0.706988438
35.236997,0.622720407,0.548580659,0.706880016
35.31495495,0.622576232,0.548410739,0.706771654
35.39291291,0.622432091,0.548240839,0.70666335
35.47087087,0.622287983,0.548070959,0.706555104
35.54882883,0.622143908,0.5479011,0.706446917
35.62678679,0.621999867,0.547731261,0.706338788
35.70474474,0.62185586,0.547561442,0.706230718
35.7827027,0.621711885,0.547391644,0.706122705
35.86066066,0.621567944,0.547221866,0.70601475
35.93861862,0.621424036,0.547052109,0.705906854
36.01657658,0.621280162,0.546882372,0.705799015
36.09453453,0.621136321,0.546712656,0.705691233
36.17249249,0.620992513,0.546542961,0.70558351
36.25045045,0.620848738,0.546373287,0.705475844
36.32840841,0.620704997,0.546203634,0.705368235
36.40636637,0.620561289,0.546034002,0.705260684
36.48432432,0.620417614,0.545864391,0.705153189
36.56228228,0.620273973,0.545694801,0.705045752
36.64024024,0.620130365,0.545525232,0.704938372
36.7181982,0.61998679,0.545355685,0.704831049
36.79615616,0.619843248,0.545186159,0.704723783
36.87411411,0.61969974,0.545016654,0.704616573
36.95207207,0.619556264,0.544847171,0.70450942
