Geo,Year,AveHhSize,Prop1PerHh
3,2045,2.663142715,0.210117273
4,2045,2.46639237,0.225713521
5,2045,2.107974892,0.358379914
6,2045,2.090678703,0.348316827
7,2045,2.201353795,0.354686319
8,2045,1.516955557,0.615154768
9,2045,2.218878421,0.34877112
10,2045,2.091866931,0.382016082
11,2045,2.401066071,0.335997774
12,2045,2.463646494,0.282616149
13,2045,2.680074978,0.186487996
14,2045,2.754713969,0.172044538
15,2045,2.596055105,0.239208572
16,2045,2.475590613,0.279319833
17,2045,2.524457043,0.267375937
18,2045,2.464225011,0.294740089
19,2045,2.274505465,0.345639087
20,2045,2.639819128,0.207509077
1,2050,2.625753349,0.222760401
2,2050,2.142501872,0.359785839
3,2050,2.689345107,0.208071114
4,2050,2.500097965,0.216649929
5,2050,2.084527021,0.362798492
6,2050,2.068157889,0.3591293
7,2050,2.187765024,0.360733798
8,2050,1.535580762,0.605732292
9,2050,2.209992374,0.354362394
10,2050,2.07870263,0.388802156
11,2050,2.384860993,0.340162359
12,2050,2.489068955,0.274342162
13,2050,2.691891413,0.186291875
14,2050,2.778690351,0.167322507
15,2050,2.617563245,0.233621395
16,2050,2.493466676,0.274851831
17,2050,2.547241782,0.263162547
18,2050,2.487382753,0.288388805
19,2050,2.285812702,0.341436313
20,2050,2.663510182,0.201781727
