Geo,Year,SFDU,MFDU,GQDU
235,2005,38,36,0
235,2021,42,41,0
235,2050,48,37,0
236,2005,30,24,0
236,2021,34,28,0
236,2050,11,55,0
237,2005,98,275,0
237,2021,111,320,0
237,2050,103,363,0
238,2005,140,225,0
238,2021,158,262,0
238,2050,82,729,0
242,2005,156,115,0
242,2021,176,134,0
242,2050,209,177,0
243,2005,3,0,0
243,2021,3,0,0
243,2050,0,1,0
244,2005,230,33,0
244,2021,260,38,0
244,2050,293,36,0
245,2005,226,41,0
245,2021,255,48,0
245,2050,266,51,0
246,2005,112,71,0
246,2021,126,83,0
246,2050,145,78,0
249,2005,35,710,0
249,2021,40,828,0
249,2050,185,1892,0
254,2005,351,210,0
254,2021,396,244,0
254,2050,486,247,0
256,2005,264,272,0
256,2021,298,317,0
256,2050,300,348,0
257,2005,107,133,0
257,2021,121,155,0
257,2050,134,146,0
258,2005,24,5,0
258,2021,27,5,0
258,2050,27,5,0
259,2005,5,12,0
259,2021,5,14,0
259,2050,6,46,0
260,2005,1,95,1819
260,2021,1,110,1555
260,2050,1,104,1687
261,2005,51,81,0
261,2021,58,95,0
261,2050,30,269,0
279,2005,0,1,0
279,2021,0,1,0
279,2050,0,1,0
280,2005,2,6,0
280,2021,3,7,0
280,2050,3,6,0
281,2005,0,81,0
281,2021,0,95,0
281,2050,0,134,0
282,2005,68,0,0
282,2021,76,0,0
282,2050,75,3,0
283,2005,298,30,0
283,2021,336,35,0
283,2050,374,36,0
284,2005,432,200,0
284,2021,488,233,0
284,2050,568,378,0
285,2005,237,12,0
285,2021,268,14,0
285,2050,303,23,0
286,2005,386,678,0
286,2021,436,789,0
286,2050,358,964,0
289,2005,277,13,0
289,2021,313,15,0
289,2050,349,38,0
290,2005,230,137,0
290,2021,260,159,0
290,2050,274,27,0
294,2005,5,0,0
294,2021,5,0,0
294,2050,47,199,0
295,2005,148,121,0
295,2021,167,141,0
295,2050,194,160,0
296,2005,0,1,0
296,2021,0,1,0
296,2050,3,0,0
298,2005,251,151,0
298,2021,283,176,0
298,2050,313,175,0
299,2005,2,31,0
299,2021,2,36,0
299,2050,0,1,0
300,2005,144,20,0
300,2021,162,23,0
300,2050,183,22,0
301,2005,273,149,0
301,2021,308,173,0
301,2050,335,158,0
302,2005,111,88,0
302,2021,126,103,0
302,2050,139,72,0
303,2005,176,274,0
303,2021,198,319,0
303,2050,221,280,0
304,2005,0,62,0
304,2021,0,72,0
304,2050,0,37,0
309,2005,17,203,0
309,2021,20,237,0
309,2050,22,266,0
310,2005,374,357,0
310,2021,422,415,0
310,2050,483,438,0
312,2005,17,43,0
312,2021,20,50,0
312,2050,21,45,0
313,2005,195,162,0
313,2021,220,189,0
313,2050,232,178,0
314,2005,351,254,0
314,2021,396,296,0
314,2050,452,277,0
322,2005,373,152,0
322,2021,422,177,0
322,2050,485,128,0
323,2005,4,0,0
323,2021,4,0,0
323,2050,3,15,0
324,2005,537,268,0
324,2021,606,312,0
324,2050,684,289,0
330,2005,90,230,0
330,2021,102,268,0
330,2050,108,272,0
332,2005,136,217,0
332,2021,154,253,0
332,2050,174,232,0
333,2005,198,0,0
333,2021,224,0,0
333,2050,241,13,0
334,2005,425,107,0
334,2021,479,124,0
334,2050,554,226,0
335,2005,408,792,0
335,2021,461,922,0
335,2050,526,904,0
336,2005,262,426,0
336,2021,296,496,0
336,2050,343,488,0
338,2005,289,223,0
338,2021,326,259,0
338,2050,373,246,0
345,2005,256,0,0
345,2021,288,0,0
345,2050,441,4,0
346,2005,111,0,0
346,2021,126,0,0
346,2050,163,0,0
347,2005,329,113,0
347,2021,372,132,0
347,2050,416,170,0
350,2005,552,237,0
350,2021,623,276,0
350,2050,716,175,0
354,2005,449,5,0
354,2021,507,6,0
354,2050,605,2230,0
357,2005,763,296,0
357,2021,861,345,0
357,2050,983,773,0
358,2005,254,3,0
358,2021,287,3,0
