Geo,Year,ElectricityCI
Coos,2015,174.16514913171594
Coos,2020,169.85649268546064
Coos,2025,105.66036971010335
Coos,2030,68.49419325068597
Coos,2035,46.53236170648477
Coos,2040,39.7748750774998
Coos,2045,39.7748750774998
Coos,2050,39.7748750774998
Crook,1990,179.2825975
Crook,1995,179.2825975
Crook,2000,179.2825975
Crook,2005,179.2825975
Crook,2010,175.0616634
Crook,2015,162.0526257486076
Crook,2020,159.4855897164935
Crook,2025,99.62220210421063
Crook,2030,64.96445138131001
Crook,2035,44.48487140868691
Crook,2040,38.183462186341345
Crook,2045,38.183462186341345
Crook,2050,38.183462186341345
Curry,1990,10.00424361
Curry,1995,10.00424361
Curry,2000,10.00424361
Curry,2005,10.00424361
Curry,2010,10.00424361
Curry,2015,6.027718397151348
Curry,2020,3.9942887509839995
Curry,2025,3.9942887509839995
Curry,2030,3.9942887509839995
Curry,2035,3.9942887509839995
Curry,2040,3.9942887509839995
Curry,2045,3.9942887509839995
Curry,2050,3.9942887509839995
Deschutes,1990,142.0249799
Deschutes,1995,142.0249799
Deschutes,2000,142.0249799
Deschutes,2005,142.0249799
Deschutes,2010,138.7364313
Deschutes,2015,134.338383723078
Deschutes,2020,131.80440319052383
Deschutes,2025,82.69071194538004
Deschutes,2030,54.25646964555997
Deschutes,2035,37.454417377484454
Deschutes,2040,32.284555141153525
Deschutes,2045,32.284555141153525
Deschutes,2050,32.284555141153525
Douglas,1990,202.4788349
Douglas,1995,202.4788349
Douglas,2000,202.4788349
Douglas,2005,202.4788349
Douglas,2010,197.6909097
Douglas,2015,175.90737228145343
Douglas,2020,172.02901820510604
Douglas,2025,106.99203027100174
Douglas,2030,69.33903725652033
Douglas,2035,47.089541384326736
Douglas,2040,40.24354265442103
Douglas,2045,40.24354265442103
Douglas,2050,40.24354265442103
Gilliam,1990,115.5149943
Gilliam,1995,115.5149943
Gilliam,2000,115.5149943
Gilliam,2005,115.5149943
Gilliam,2010,112.8816354
Gilliam,2015,89.82307488808833
Gilliam,2020,84.71619264801261
Gilliam,2025,53.47319004507496
Gilliam,2030,35.38513590653211
Gilliam,2035,24.69674027921134
Gilliam,2040,21.40800316311264
Gilliam,2045,21.40800316311264
Gilliam,2050,21.40800316311264
Grant,1990,10.00424361
Grant,1995,10.00424361
Grant,2000,10.00424361
Grant,2005,10.00424361
Grant,2010,10.00424361
Grant,2015,9.635126524261876
Grant,2020,4.015464196223368
Grant,2025,4.015464196223368
Grant,2030,4.015464196223368
Grant,2035,4.015464196223368
Grant,2040,4.015464196223368
Grant,2045,4.015464196223368
Grant,2050,4.015464196223368
Harney,1990,10.00424361
Harney,1995,10.00424361
Harney,2000,10.00424361
Harney,2005,10.00424361
Harney,2010,10.00424361
Harney,2015,12.17943245926395
Harney,2020,3.8995710434596225
Harney,2025,3.8995710434596225
Harney,2030,3.8995710434596225
Harney,2035,3.8995710434596225
Harney,2040,3.8995710434596225
Harney,2045,3.8995710434596225
Harney,2050,3.8995710434596225
Hood River,1990,160.181296
Hood River,1995,160.181296
Hood River,2000,160.181296
Hood River,2005,160.181296
Hood River,2010,156.4391545
Hood River,2015,137.6238357757988
Hood River,2020,132.85375708245678
Hood River,2025,82.97935484302246
Hood River,2030,54.10470091492892
Hood River,2035,37.04240541196454
Hood River,2040,31.792468334129346
Hood River,2045,31.792468334129346
Hood River,2050,31.792468334129346
Jackson,1990,206.9265653
Jackson,1995,206.9265653
Jackson,2000,206.9265653
Jackson,2005,206.9265653
Jackson,2010,202.0126421
Jackson,2015,202.68791586428821
Jackson,2020,198.37557135499674
Jackson,2025,123.14101049889618
Jackson,2030,79.58415947694324
Jackson,2035,53.846020236698315
Jackson,2040,45.92659277816142
Jackson,2045,45.92659277816142
Jackson,2050,45.92659277816142
Jefferson,1990,218.1025906
Jefferson,1995,218.1025906
Jefferson,2000,218.1025906
Jefferson,2005,218.1025906
Jefferson,2010,212.9114718
Jefferson,2015,164.2442357565666
Jefferson,2020,161.5997835005995
Jefferson,2025,100.90353485169497
Jefferson,2030,65.76360142338181
Jefferson,2035,44.99909530665132
Jefferson,2040,38.61001650150347
Jefferson,2045,38.61001650150347
Jefferson,2050,38.61001650150347
Josephine,1990,236.2211074
Josephine,1995,236.2211074
Josephine,2000,236.2211074
Josephine,2005,236.2211074
Josephine,2010,230.5889954
Josephine,2015,223.6062181760021
Josephine,2020,219.44201520549524
Josephine,2025,136.0540677779684
Josephine,2030,87.77683505676869
Josephine,2035,59.24937935787794
Josephine,2040,50.47170068129617
Josephine,2045,50.47170068129617
Josephine,2050,50.47170068129617
Klamath,1990,253.0796439
Klamath,1995,253.0796439
Klamath,2000,253.0796439
Klamath,2005,253.0796439
Klamath,2010,247.0317384
Klamath,2015,213.6948942915532
Klamath,2020,209.46081129861605
Klamath,2025,129.93603810990396
Klamath,2030,83.89537994801802
Klamath,2035,56.689536488721764
Klamath,2040,48.318507732015235
Klamath,2045,48.318507732015235
Klamath,2050,48.318507732015235
Lake,1990,128.2281955
Lake,1995,128.2281955
Lake,2000,128.2281955
Lake,2005,128.2281955
Lake,2010,125.2798416
Lake,2015,105.5113030618728
Lake,2020,100.50160337032116
Lake,2025,63.142928813072075
Lake,2030,41.5142224904542
Lake,2035,28.733623299816347
Lake,2040,24.801131241158554
Lake,2045,24.801131241158554
Lake,2050,24.801131241158554
Lane,1990,20.82747442
Lane,1995,20.82747442
Lane,2000,20.82747442
Lane,2005,20.82747442
Lane,2010,20.56287856
Lane,2015,15.282969593321905
Lane,2020,17.4541436456338
Lane,2025,14.380116118358186
Lane,2030,12.600415970988097
Lane,2035,11.548774974814862
Lane,2040,11.225193129838482
Lane,2045,11.225193129838482
Lane,2050,11.225193129838482
Lincoln,1990,91.53756908
Lincoln,1995,91.53756908
Lincoln,2000,91.53756908
